Qubit,T1 (us),T2 (us),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,RX error ,Z-axis rotation (rz) error ,√x (sx) error ,Pauli-X error ,CZ error ,RZZ error ,Gate time (ns),Operational,,RZZ,,CZ,,CZ_cleaned
0,298.6836158,77.33325838,0.011962891,0.009277344,0.014648438,2584,0.000107099,0.000107099,0,0.000107099,0.000107099,0_1:0.0018306631704243514,0_1:0.0018997474230843803,0_1:68,TRUE,,0.001899747,,0.001830663,,
1,179.9550883,178.3977013,0.004150391,0.006835938,0.001464844,2584,0.00012679,0.00012679,0,0.00012679,0.00012679,1_2:0.0024586646731129536;1_0:0.0018306631704243514,1_2:0.0016001037777129967;1_0:0.0018997474230843803,1_2:68;1_0:68,TRUE,,0.001600104,,0.002458665,,
2,254.661474,51.55473545,0.004150391,0.007324219,0.000976563,2584,0.000107449,0.000107449,0,0.000107449,0.000107449,2_1:0.0024586646731129536;2_3:0.0034748002749867,2_1:0.0016001037777129967;2_3:0.0024194823965665024,2_1:68;2_3:68,TRUE,,0.001899747,,0.001830663,,
3,204.7316341,256.9828559,0.008544922,0.011230469,0.005859375,2584,0.000173935,0.000173935,0,0.000173935,0.000173935,3_16:0.005132066337898977;3_2:0.0034748002749867;3_4:0.004134585870013419,3_16:0.0025671084825203694;3_2:0.0024194823965665024;3_4:0.005482085545392673,3_16:68;3_2:68;3_4:80,TRUE,,0.001600104,,0.002458665,,
4,234.1111423,107.4733449,0.016357422,0.030761719,0.001953125,2584,0.000277801,0.000277801,0,0.000277801,0.000277801,4_3:0.004134585870013419;4_5:0.0024131773753751085,4_3:0.005482085545392673;4_5:0.004178830248505433,4_3:80;4_5:68,TRUE,,0.002419482,,0.0034748,,
5,234.8924432,113.9050552,0.008056641,0.008300781,0.0078125,2584,0.000254218,0.000254218,0,0.000254218,0.000254218,5_6:0.0016561848632643539;5_4:0.0024131773753751085,5_6:0.002638173157472695;5_4:0.004178830248505433,5_6:68;5_4:68,TRUE,,0.002567108,,0.005132066,,
6,380.8198562,197.6027113,0.004882813,0.008300781,0.001464844,2584,0.000135362,0.000135362,0,0.000135362,0.000135362,6_5:0.0016561848632643539;6_7:0.0023573093491234265,6_5:0.002638173157472695;6_7:0.0032624547738351883,6_5:68;6_7:68,TRUE,,0.002419482,,0.0034748,,
7,315.850466,76.43864841,0.008056641,0.015625,0.000488281,2584,0.000209434,0.000209434,0,0.000209434,0.000209434,7_17:0.0027385736251182013;7_6:0.0023573093491234265;7_8:0.0027514970051581433,7_17:0.0034491421827698154;7_6:0.0032624547738351883;7_8:0.00396777986197272,7_17:68;7_6:68;7_8:80,TRUE,,0.005482086,,0.004134586,,
8,164.0909819,59.10841104,0.00390625,0.006835938,0.000976563,2584,0.000273352,0.000273352,0,0.000273352,0.000273352,8_9:0.005428280480005432;8_7:0.0027514970051581433,8_9:0.0034051810254441817;8_7:0.00396777986197272,8_9:68;8_7:80,TRUE,,0.005482086,,0.004134586,,
9,228.1211175,105.7350331,0.016357422,0.03125,0.001464844,2584,0.000254158,0.000254158,0,0.000254158,0.000254158,9_8:0.005428280480005432;9_10:0.003357166402316314,9_8:0.0034051810254441817;9_10:0.002555874530240032,9_8:68;9_10:68,TRUE,,0.00417883,,0.002413177,,
