Qubit,,T1 (us),T2 (us),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,CZ error,Gate length (ns),RZZ error,Operational
0,,67.41001195830631,117.23199050619795,0.006469727,0.009765625,0.001953125,2584,0.000296635,32,0.000296635,0,0.000296635,0.000296635,01:00.0,0.102777778,01:00.1,Yes
1,,322.15841097814297,319.71857368401106,0.006958008,0.00390625,0.001953125,2584,,32,,0,,,2:0.01136384543548244;0:0.028453397015905685,2:88;0:88,2:0.0033359649655100576;0:0.0796485795832596,Yes
2,,280.8424417080751,293.07498905590927,0.003051758,0.004394531,0.000488281,2584,0.000147326,32,0.000147326,0,0.000147326,0.000147326,1:0.01136384543548244;3:0.001188331741160481,1:88;3:88,1:0.0033359649655100576;3:0.002384231019553068,Yes
3,,342.0514855954886,287.8615086317161,0.004150391,0.004394531,0.00390625,2584,0.000173355,32,0.000173355,0,0.000173355,0.000173355,16:0.001435527930517877;2:0.001188331741160481;4:0.0014734176693896317,16:88;2:88;4:88,2:0.002384231019553068;4:0.0018349124568714514,Yes
4,,335.7661690442226,287.85067000374653,0.003417969,0.008300781,0.000976563,2584,0.000488276,32,0.000488276,0,0.000488276,0.000488276,3:0.0014734176693896317;5:0.0030658762232131653,3:88;5:88,03:00.0,Yes
5,,358.4731063972615,369.27230594137586,0.005493164,0.008300781,0.000976563,2584,0.000158232,32,0.000158232,0,0.000158232,0.000158232,6:0.002227384862054843;4:0.0030658762232131653,6:88;4:88,06:00.0,Yes
6,,157.23044954075172,179.31338792757845,0.010253906,0.044921875,0.004394531,2584,0.000431352,32,0.000431352,0,0.000431352,0.000431352,5:0.002227384862054843;7:0.003613898972388202,5:88;7:88,5:0.002544809494299277;7:0.001336118381766782,Yes
7,,308.90048204717186,292.3120535,0.003173828,0.006347656,0,2584,0.000226857,32,0.000226857,0,0.000226857,0.000226857,17:0.0022065044916043386;6:0.003613898972388202;8:0.0016053272079146197,17:88;6:88;8:88,17:0.0009706617132326789;6:0.001336118381766782;8:0.007750486498849157,Yes
8,,272.5262988570104,360.4879072,0.006835938,0.0078125,0.000976563,2584,0.000492047,32,0.000492047,0,0.000492047,0.000492047,9:0.006473497516692517;7:0.0016053272079146197,9:88;7:88,07:00.0,Yes
9,,270.5658196477329,305.6364982141996,0.104614258,0.141601563,0.005859375,2584,0.000659864,32,0.000659864,0,0.000659864,0.000659864,8:0.006473497516692517;10:0.0025183075351058737,8:88;10:88,10:00.0,Yes
